"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Males - 2022","2022","Cappavilla, Clare","Number","526"
"Males - 2022","2022","Carran, Clare","Number","68"
"Males - 2022","2022","Carrowbaun, Clare","Number","78"
"Males - 2022","2022","Castlecrine, Clare","Number","246"
"Males - 2022","2022","Castletown, Clare","Number","31"
"Males - 2022","2022","Clareabbey, Clare","Number","1751"
"Males - 2022","2022","Clenagh, Clare","Number","5377"
"Males - 2022","2022","Cloghaun, Clare","Number","104"
"Males - 2022","2022","Cloghera, Clare","Number","300"
"Males - 2022","2022","Clondagad, Clare","Number","362"
"Males - 2022","2022","Cloonadrum, Clare","Number","252"
"Males - 2022","2022","Cloonanaha, Clare","Number","129"
"Males - 2022","2022","Clooncoorha, Clare","Number","188"
"Males - 2022","2022","Clooney, Clare, 037034","Number","126"
"Males - 2022","2022","Clooney, Clare, 037035","Number","262"
"Males - 2022","2022","Cloontra, Clare","Number","150"
"Males - 2022","2022","Cloonusker, Clare","Number","126"
"Males - 2022","2022","Coolmeen, Clare","Number","141"
"Males - 2022","2022","Coolreagh, Clare","Number","109"
"Males - 2022","2022","Cooraclare, Clare","Number","257"
"Males - 2022","2022","Corrofin, Clare","Number","685"
"Males - 2022","2022","Cratloe, Clare","Number","711"
"Males - 2022","2022","Creegh, Clare","Number","216"
"Males - 2022","2022","Crusheen, Clare","Number","546"
"Males - 2022","2022","Dangan, Clare","Number","130"
"Males - 2022","2022","Derreen, Clare","Number","59"
"Males - 2022","2022","Derrynagittagh, Clare","Number","77"
"Males - 2022","2022","Doonbeg, Clare","Number","381"
"Males - 2022","2022","Doora, Clare","Number","1055"
"Males - 2022","2022","Drumcreehy, Clare","Number","260"
"Males - 2022","2022","Drumellihy, Clare","Number","240"
"Males - 2022","2022","Drumline, Clare","Number","457"
"Males - 2022","2022","Drummaan, Clare","Number","315"
"Males - 2022","2022","Dysert, Clare","Number","176"
"Males - 2022","2022","Einagh, Clare","Number","151"
"Males - 2022","2022","Ennis No. 1 Urban, Clare","Number","757"
"Males - 2022","2022","Ennis No. 2 Urban, Clare","Number","1076"
"Males - 2022","2022","Ennis No. 3 Urban, Clare","Number","94"
"Males - 2022","2022","Ennis No. 4 Urban, Clare","Number","680"
"Males - 2022","2022","Ennis Rural, Clare","Number","9187"
"Males - 2022","2022","Ennistimon, Clare","Number","1196"
"Males - 2022","2022","Fahymore, Clare","Number","195"
"Males - 2022","2022","Feakle, Clare","Number","225"
"Males - 2022","2022","Formoyle, Clare","Number","116"
"Males - 2022","2022","Furroor, Clare","Number","145"
"Males - 2022","2022","Glendree, Clare","Number","91"
"Males - 2022","2022","Gleninagh, Clare","Number","79"
"Males - 2022","2022","Glenmore, Clare","Number","187"
"Males - 2022","2022","Inishcaltra South/Inishcaltra North, Clare","Number","191"
"Males - 2022","2022","Kilballyowen, Clare","Number","130"
"Males - 2022","2022","Kilchreest, Clare","Number","229"
"Males - 2022","2022","Kilcloher, Clare","Number","369"
"Males - 2022","2022","Kilfearagh, Clare","Number","191"
"Males - 2022","2022","Kilfenora, Clare","Number","203"
"Males - 2022","2022","Kilfiddane, Clare","Number","176"
"Males - 2022","2022","Kilkee, Clare","Number","562"
"Males - 2022","2022","Kilkishen, Clare","Number","502"
"Males - 2022","2022","Killadysert, Clare","Number","478"
"Males - 2022","2022","Killaloe, Clare","Number","1124"
"Males - 2022","2022","Killanena, Clare","Number","147"
"Males - 2022","2022","Killanniv, Clare","Number","388"
"Males - 2022","2022","Killard, Clare","Number","148"
"Males - 2022","2022","Killaspuglonane, Clare","Number","161"
"Males - 2022","2022","Killeely, Clare","Number","439"
"Males - 2022","2022","Killilagh, Clare","Number","401"
"Males - 2022","2022","Killimer, Clare","Number","224"
"Males - 2022","2022","Killinaboy, Clare","Number","173"
"Males - 2022","2022","Killofin, Clare","Number","161"
"Males - 2022","2022","Killokennedy, Clare","Number","83"
"Males - 2022","2022","Killone, Clare","Number","306"
"Males - 2022","2022","Killuran, Clare","Number","230"
"Males - 2022","2022","Kilmihil, Clare","Number","355"
"Males - 2022","2022","Kilmurry, Clare, 037094","Number","137"
"Males - 2022","2022","Kilmurry, Clare, 037095","Number","424"
"Males - 2022","2022","Kilnamona, Clare","Number","482"
"Males - 2022","2022","Kilraghtis, Clare","Number","276"
"Males - 2022","2022","Kilrush Rural, Clare","Number","382"
"Males - 2022","2022","Kilrush Urban, Clare","Number","1348"
"Males - 2022","2022","Kilseily, Clare","Number","418"
"Males - 2022","2022","Kilshanny, Clare","Number","70"
"Males - 2022","2022","Kiltannon, Clare","Number","103"
"Males - 2022","2022","Kiltenanlea, Clare","Number","1007"
"Males - 2022","2022","Kiltoraght, Clare","Number","94"
"Males - 2022","2022","Kinturk, Clare","Number","157"
"Males - 2022","2022","Knock, Clare","Number","119"
"Males - 2022","2022","Knocknaboley, Clare","Number","147"
"Males - 2022","2022","Knocknagore, Clare","Number","95"
"Males - 2022","2022","Kyle, Clare","Number","166"
"Males - 2022","2022","Lackareagh, Clare","Number","67"
"Males - 2022","2022","Liscannor, Clare","Number","226"
"Males - 2022","2022","Liscasey, Clare","Number","295"
"Males - 2022","2022","Lisdoonvarna, Clare","Number","532"
"Males - 2022","2022","Lisheen, Clare","Number","348"
"Males - 2022","2022","Loughea, Clare","Number","85"
"Males - 2022","2022","Lurraga, Clare","Number","128"
"Males - 2022","2022","Magherareagh, Clare","Number","168"
"Males - 2022","2022","Milltown Malbay, Clare","Number","842"
"Males - 2022","2022","Mount Elva, Clare","Number","49"
"Males - 2022","2022","Mountievers, Clare","Number","719"
"Males - 2022","2022","Mountshannon, Clare","Number","231"
"Males - 2022","2022","Moveen/Tullig, Clare","Number","92"
"Males - 2022","2022","Moy, Clare","Number","381"
"Males - 2022","2022","Moyarta, Clare","Number","127"
"Males - 2022","2022","Muckanagh, Clare","Number","195"
"Males - 2022","2022","Mullagh, Clare","Number","103"
"Males - 2022","2022","Newgrove, Clare","Number","147"
"Males - 2022","2022","Newmarket, Clare","Number","1048"
"Males - 2022","2022","Noughaval, Clare","Number","57"
"Males - 2022","2022","O'briensbridge, Clare","Number","338"
"Males - 2022","2022","Ogonnelloe, Clare","Number","399"
"Males - 2022","2022","Oughtmama, Clare","Number","74"
"Males - 2022","2022","Querrin, Clare","Number","104"
"Males - 2022","2022","Quin, Clare","Number","755"
"Males - 2022","2022","Rahona, Clare","Number","162"
"Males - 2022","2022","Rath, Clare","Number","141"
"Males - 2022","2022","Rathborney, Clare","Number","52"
"Males - 2022","2022","Rathclooney, Clare","Number","71"
"Males - 2022","2022","Rinealon, Clare","Number","102"
"Males - 2022","2022","Rossroe, Clare","Number","353"
"Males - 2022","2022","Ruan, Clare","Number","361"
"Males - 2022","2022","Scarriff, Clare","Number","687"
"Males - 2022","2022","Sixmilebridge, Clare","Number","1399"
"Males - 2022","2022","Smithstown, Clare","Number","84"
"Males - 2022","2022","Spancelhill, Clare","Number","377"
"Males - 2022","2022","St. Martin's, Clare","Number","44"
"Males - 2022","2022","Templemaley, Clare","Number","651"
"Males - 2022","2022","Toberbreeda, Clare","Number","104"
"Males - 2022","2022","Tomfinlough, Clare","Number","351"
"Males - 2022","2022","Tulla, Clare","Number","585"
"Males - 2022","2022","Tullycreen, Clare","Number","74"
"Males - 2022","2022","Urlan, Clare","Number","533"
"Males - 2022","2022","Ballincollig, Cork City","Number","9294"
"Males - 2022","2022","Ballinlough A, Cork City","Number","405"
"Males - 2022","2022","Ballinlough B, Cork City","Number","899"
"Males - 2022","2022","Ballinlough C, Cork City","Number","807"
"Males - 2022","2022","Ballygarvan/Lehenagh, Cork City","Number","2002"
"Males - 2022","2022","Ballyphehane A, Cork City","Number","345"
"Males - 2022","2022","Ballyphehane B, Cork City","Number","412"
"Males - 2022","2022","Bishopstown A, Cork City","Number","1075"
"Males - 2022","2022","Bishopstown B, Cork City","Number","1037"
"Males - 2022","2022","Bishopstown C, Cork City","Number","2415"
"Males - 2022","2022","Bishopstown D, Cork City","Number","726"
"Males - 2022","2022","Bishopstown E, Cork City","Number","1485"
"Males - 2022","2022","Bishopstown, Cork City","Number","187"
"Males - 2022","2022","Blackpool A, Cork City","Number","390"
"Males - 2022","2022","Blackpool B, Cork City","Number","1241"
"Males - 2022","2022","Blarney, Cork City","Number","2546"
"Males - 2022","2022","Browningstown, Cork City","Number","512"
"Males - 2022","2022","Caherlag, Cork City","Number","2186"
"Males - 2022","2022","Carrigaline/Monkstown Rural/Douglas, Cork City","Number","10784"
"Males - 2022","2022","Carrigrohanebeg, Cork City","Number","475"
"Males - 2022","2022","Centre A, Cork City","Number","661"
"Males - 2022","2022","Centre B, Cork City","Number","1282"
"Males - 2022","2022","Churchfield, Cork City","Number","809"
"Males - 2022","2022","City Hall A, Cork City","Number","643"
"Males - 2022","2022","City Hall B, Cork City","Number","593"
"Males - 2022","2022","Commons, Cork City","Number","537"
"Males - 2022","2022","Douglas/Lehenagh, Cork City","Number","3811"
"Males - 2022","2022","Evergreen, Cork City","Number","732"
"Males - 2022","2022","Fair Hill A, Cork City","Number","355"
"Males - 2022","2022","Fair Hill B, Cork City","Number","364"
"Males - 2022","2022","Fair Hill C, Cork City","Number","1711"
"Males - 2022","2022","Farranferris A, Cork City","Number","1063"
"Males - 2022","2022","Farranferris B, Cork City","Number","435"
"Males - 2022","2022","Farranferris C, Cork City","Number","402"
"Males - 2022","2022","Gillabbey A, Cork City","Number","1175"
"Males - 2022","2022","Gillabbey B, Cork City","Number","518"
"Males - 2022","2022","Gillabbey C, Cork City","Number","893"
"Males - 2022","2022","Glasheen A, Cork City","Number","379"
"Males - 2022","2022","Glasheen B, Cork City","Number","370"
"Males - 2022","2022","Glasheen C, Cork City","Number","1258"
"Males - 2022","2022","Greenmount, Cork City","Number","1042"
"Males - 2022","2022","Gurranebraher A, Cork City","Number","355"
"Males - 2022","2022","Gurranebraher B, Cork City","Number","335"
"Males - 2022","2022","Gurranebraher C, Cork City","Number","554"
"Males - 2022","2022","Gurranebraher D, Cork City","Number","451"
"Males - 2022","2022","Gurranebraher E, Cork City","Number","533"
"Males - 2022","2022","Inishkenny, Cork City","Number","2405"
"Males - 2022","2022","Knocknaheeny, Cork City","Number","1967"
"Males - 2022","2022","Knockrea A, Cork City","Number","821"
"Males - 2022","2022","Knockrea B, Cork City","Number","585"
"Males - 2022","2022","Mahon A, Cork City","Number","2575"
"Males - 2022","2022","Mahon B, Cork City","Number","2420"
"Males - 2022","2022","Mahon C, Cork City","Number","1626"
"Males - 2022","2022","Mardyke, Cork City","Number","584"
"Males - 2022","2022","Matehy, Cork City","Number","905"
"Males - 2022","2022","Mayfield, Cork City","Number","1353"
"Males - 2022","2022","Montenotte A, Cork City","Number","841"
"Males - 2022","2022","Montenotte B, Cork City","Number","1089"
"Males - 2022","2022","Ovens, Cork City","Number","851"
"Males - 2022","2022","Pouladuff A, Cork City","Number","370"
"Males - 2022","2022","Pouladuff B, Cork City","Number","815"
"Males - 2022","2022","Rathcooney, Cork City","Number","4263"
"Males - 2022","2022","Riverstown, Cork City","Number","1951"
"Males - 2022","2022","Shanakiel, Cork City","Number","1849"
"Males - 2022","2022","Shandon A, Cork City","Number","1104"
"Males - 2022","2022","Shandon B, Cork City","Number","729"
"Males - 2022","2022","South Gate A, Cork City","Number","1297"
"Males - 2022","2022","South Gate B, Cork City","Number","557"
"Males - 2022","2022","St. Mary's (East), Cork City","Number","1072"
"Males - 2022","2022","St. Mary's (West), Cork City","Number","1917"
"Males - 2022","2022","St. Patrick's A, Cork City","Number","1060"
"Males - 2022","2022","St. Patrick's B, Cork City","Number","806"
"Males - 2022","2022","St. Patrick's C, Cork City","Number","439"
"Males - 2022","2022","Sunday's Well A, Cork City","Number","383"
"Males - 2022","2022","Sunday's Well B, Cork City","Number","500"
"Males - 2022","2022","The Glen A, Cork City","Number","1358"
"Males - 2022","2022","The Glen B, Cork City","Number","1763"
"Males - 2022","2022","The Lough, Cork City","Number","775"
"Males - 2022","2022","Tivoli A, Cork City","Number","923"
"Males - 2022","2022","Tivoli B, Cork City","Number","1337"
"Males - 2022","2022","Togher A, Cork City","Number","1102"
"Males - 2022","2022","Togher B, Cork City","Number","324"
"Males - 2022","2022","Tramore A, Cork City","Number","375"
"Males - 2022","2022","Tramore B, Cork City","Number","524"
"Males - 2022","2022","Tramore C, Cork City","Number","1419"
"Males - 2022","2022","Turner's Cross A, Cork City","Number","426"
"Males - 2022","2022","Turner's Cross B, Cork City","Number","614"
"Males - 2022","2022","Turner's Cross C, Cork City","Number","362"
"Males - 2022","2022","Turner's Cross D, Cork City","Number","240"
"Males - 2022","2022","Whitechurch, Cork City","Number","576"
"Males - 2022","2022","Abbeymahon, Cork County","Number","386"
"Males - 2022","2022","Adrigole, Cork County","Number","256"
"Males - 2022","2022","Aghadown North, Cork County","Number","151"
"Males - 2022","2022","Aghadown South, Cork County","Number","316"
"Males - 2022","2022","Aghern, Cork County","Number","131"
"Males - 2022","2022","Aghinagh, Cork County","Number","260"
"Males - 2022","2022","Aglish, Cork County","Number","736"
"Males - 2022","2022","Ahil, Cork County","Number","139"
"Males - 2022","2022","Allow, Cork County","Number","247"
"Males - 2022","2022","Ardagh, Cork County","Number","387"
"Males - 2022","2022","Ardfield, Cork County","Number","428"
"Males - 2022","2022","Ardskeagh, Cork County","Number","268"
"Males - 2022","2022","Argideen, Cork County","Number","206"
"Males - 2022","2022","Aultagh, Cork County","Number","188"
"Males - 2022","2022","Ballinadee, Cork County","Number","301"
"Males - 2022","2022","Ballincollig, Cork County","Number","668"
"Males - 2022","2022","Ballingurteen, Cork County","Number","371"
"Males - 2022","2022","Ballinspittle, Cork County","Number","363"
"Males - 2022","2022","Ballintemple, Cork County","Number","318"
"Males - 2022","2022","Ballyarthur, Cork County","Number","175"
"Males - 2022","2022","Ballybane, Cork County","Number","141"
"Males - 2022","2022","Ballyclogh, Cork County","Number","400"
"Males - 2022","2022","Ballycottin, Cork County","Number","991"
"Males - 2022","2022","Ballydehob, Cork County","Number","450"
"Males - 2022","2022","Ballyfeard, Cork County","Number","206"
"Males - 2022","2022","Ballyfoyle, Cork County","Number","200"
"Males - 2022","2022","Ballygarvan, Cork County","Number","952"
"Males - 2022","2022","Ballygroman, Cork County","Number","892"
"Males - 2022","2022","Ballyhoolahan, Cork County","Number","155"
"Males - 2022","2022","Ballyhooly, Cork County","Number","509"
"Males - 2022","2022","Ballymackean, Cork County","Number","198"
"Males - 2022","2022","Ballymartle, Cork County","Number","710"
"Males - 2022","2022","Ballymodan, Cork County","Number","2291"
"Males - 2022","2022","Ballymoney, Cork County","Number","445"
"Males - 2022","2022","Ballymurphy, Cork County","Number","512"
"Males - 2022","2022","Ballynaglogh, Cork County","Number","214"
"Males - 2022","2022","Ballynamona, Cork County","Number","526"
"Males - 2022","2022","Ballynoe, Cork County","Number","382"
"Males - 2022","2022","Ballyspillane, Cork County","Number","179"
"Males - 2022","2022","Bandon, Cork County","Number","1194"
"Males - 2022","2022","Banteer, Cork County","Number","382"
"Males - 2022","2022","Bantry Urban, Cork County","Number","1634"
"Males - 2022","2022","Barleyhill, Cork County","Number","283"
"Males - 2022","2022","Barnacurra, Cork County","Number","130"
"Males - 2022","2022","Baurleigh, Cork County","Number","210"
"Males - 2022","2022","Bawncross, Cork County","Number","179"
"Males - 2022","2022","Bealanageary, Cork County, 047047","Number","103"
"Males - 2022","2022","Bealanageary, Cork County, 047048","Number","304"
"Males - 2022","2022","Bealock, Cork County","Number","147"
"Males - 2022","2022","Bear, Cork County","Number","118"
"Males - 2022","2022","Bengour, Cork County","Number","167"
"Males - 2022","2022","Blackpool, Cork County","Number","544"
"Males - 2022","2022","Blarney, Cork County","Number","347"
"Males - 2022","2022","Boherboy, Cork County","Number","377"
"Males - 2022","2022","Boulteen, Cork County","Number","350"
"Males - 2022","2022","Bredagh, Cork County","Number","344"
"Males - 2022","2022","Brinny, Cork County","Number","335"
"Males - 2022","2022","Butlerstown, Cork County","Number","227"
"Males - 2022","2022","Buttevant, Cork County","Number","969"
"Males - 2022","2022","Caheragh, Cork County","Number","165"
"Males - 2022","2022","Caherbarnagh, Cork County","Number","271"
"Males - 2022","2022","Caherduggan, Cork County","Number","316"
"Males - 2022","2022","Caherlag, Cork County","Number","1830"
"Males - 2022","2022","Cahermore, Cork County","Number","217"
"Males - 2022","2022","Candroma, Cork County","Number","171"
"Males - 2022","2022","Cannaway, Cork County","Number","351"
"Males - 2022","2022","Cape Clear, Cork County","Number","157"
"Males - 2022","2022","Carrig, Cork County, 047069","Number","106"
"Males - 2022","2022","Carrig, Cork County, 047070","Number","89"
"Males - 2022","2022","Carrigaline, Cork County, 047071","Number","1554"
"Males - 2022","2022","Carrigaline, Cork County, 047072","Number","6500"
"Males - 2022","2022","Carrigbaun, Cork County","Number","180"
"Males - 2022","2022","Carrigboy, Cork County","Number","254"
"Males - 2022","2022","Carrignavar, Cork County","Number","663"
"Males - 2022","2022","Carrigrohanebeg, Cork County","Number","313"
"Males - 2022","2022","Carrigtohill, Cork County","Number","4051"
"Males - 2022","2022","Cashel, Cork County","Number","216"
"Males - 2022","2022","Castle Hyde, Cork County","Number","421"
"Males - 2022","2022","Castlecooke, Cork County","Number","124"
"Males - 2022","2022","Castlecor, Cork County","Number","229"
"Males - 2022","2022","Castlehaven North, Cork County","Number","415"
"Males - 2022","2022","Castlehaven South, Cork County","Number","274"
"Males - 2022","2022","Castlelyons, Cork County","Number","621"
"Males - 2022","2022","Castlemagner, Cork County","Number","354"
"Males - 2022","2022","Castlemartyr, Cork County","Number","517"
"Males - 2022","2022","Castletown, Cork County","Number","260"
"Males - 2022","2022","Castletownroche, Cork County","Number","476"
"Males - 2022","2022","Castleventry, Cork County","Number","149"
"Males - 2022","2022","Churchtown, Cork County","Number","626"
"Males - 2022","2022","Cleanrath, Cork County","Number","109"
"Males - 2022","2022","Clenor, Cork County","Number","196"
"Males - 2022","2022","Cloghdonnell, Cork County","Number","195"
"Males - 2022","2022","Clonakilty Rural, Cork County","Number","1084"
"Males - 2022","2022","Clonakilty Urban, Cork County","Number","2122"
"Males - 2022","2022","Clondrohid, Cork County","Number","466"
"Males - 2022","2022","Clonfert East, Cork County","Number","176"
"Males - 2022","2022","Clonfert West, Cork County","Number","76"
"Males - 2022","2022","Clonmeen, Cork County","Number","159"
"Males - 2022","2022","Clonmoyle, Cork County","Number","310"
"Males - 2022","2022","Clonmult, Cork County","Number","122"
"Males - 2022","2022","Clonpriest, Cork County","Number","604"
"Males - 2022","2022","Cloonkeen, Cork County","Number","191"
"Males - 2022","2022","Cloyne, Cork County","Number","2329"
"Males - 2022","2022","Cobh Rural, Cork County","Number","4495"
"Males - 2022","2022","Cobh Urban, Cork County","Number","3487"
"Males - 2022","2022","Coolagh, Cork County","Number","110"
"Males - 2022","2022","Coolclogh, Cork County","Number","203"
"Males - 2022","2022","Coolcraheen, Cork County","Number","361"
"Males - 2022","2022","Coole, Cork County","Number","588"
"Males - 2022","2022","Coolmain, Cork County","Number","232"
"Males - 2022","2022","Coolmountain, Cork County","Number","233"
"Males - 2022","2022","Coomlogane, Cork County","Number","518"
"Males - 2022","2022","Corkbeg, Cork County","Number","1382"
"Males - 2022","2022","Coulagh, Cork County","Number","304"
"Males - 2022","2022","Courtmacsherry, Cork County","Number","443"
"Males - 2022","2022","Crinnaloo, Cork County","Number","101"
"Males - 2022","2022","Crookhaven, Cork County","Number","108"
"Males - 2022","2022","Cullen, Cork County, 047120","Number","279"
"Males - 2022","2022","Cullen, Cork County, 047121","Number","219"
"Males - 2022","2022","Curraglass, Cork County","Number","228"
"Males - 2022","2022","Curryglass, Cork County","Number","223"
"Males - 2022","2022","Dangan, Cork County","Number","146"
"Males - 2022","2022","Derragh, Cork County","Number","116"
"Males - 2022","2022","Derry, Cork County","Number","268"
"Males - 2022","2022","Derryfineen, Cork County","Number","131"
"Males - 2022","2022","Derryvillane, Cork County","Number","272"
"Males - 2022","2022","Doneraile, Cork County","Number","781"
"Males - 2022","2022","Doonasleen, Cork County","Number","231"
"Males - 2022","2022","Douce, Cork County","Number","136"
"Males - 2022","2022","Douglas, Cork County","Number","88"
"Males - 2022","2022","Drinagh, Cork County, 047133","Number","199"
"Males - 2022","2022","Drinagh, Cork County, 047134","Number","141"
"Males - 2022","2022","Dripsey, Cork County","Number","801"
"Males - 2022","2022","Drishane, Cork County","Number","1019"
"Males - 2022","2022","Dromdaleague North, Cork County","Number","165"
"Males - 2022","2022","Dromdaleague South, Cork County","Number","315"
"Males - 2022","2022","Dromina, Cork County","Number","326"
"Males - 2022","2022","Dromore, Cork County","Number","1510"
"Males - 2022","2022","Dunbeacon, Cork County","Number","100"
"Males - 2022","2022","Dunderrow, Cork County","Number","847"
"Males - 2022","2022","Dungourney, Cork County","Number","423"
"Males - 2022","2022","Dunmanus, Cork County","Number","125"
"Males - 2022","2022","Dunmanway North, Cork County","Number","619"
"Males - 2022","2022","Dunmanway South, Cork County","Number","756"
"Males - 2022","2022","Durrus East, Cork County","Number","140"
"Males - 2022","2022","Durrus West, Cork County","Number","336"
"Males - 2022","2022","Farahy, Cork County","Number","257"
"Males - 2022","2022","Farranbrien, Cork County","Number","266"
"Males - 2022","2022","Fermoy Rural, Cork County","Number","2386"
"Males - 2022","2022","Fermoy Urban, Cork County","Number","1308"
"Males - 2022","2022","Firmount, Cork County","Number","356"
"Males - 2022","2022","Garranes, Cork County","Number","213"
"Males - 2022","2022","Garrown, Cork County","Number","164"
"Males - 2022","2022","Garryvoe, Cork County","Number","334"
"Males - 2022","2022","Glanlough, Cork County","Number","108"
"Males - 2022","2022","Glanworth East, Cork County","Number","233"
"Males - 2022","2022","Glanworth West, Cork County","Number","560"
"Males - 2022","2022","Glengarriff, Cork County","Number","560"
"Males - 2022","2022","Glenlara, Cork County","Number","230"
"Males - 2022","2022","Glenville, Cork County","Number","373"
"Males - 2022","2022","Goleen, Cork County","Number","113"
"Males - 2022","2022","Gortmore, Cork County","Number","112"
"Males - 2022","2022","Gortnascreeny, Cork County","Number","287"
"Males - 2022","2022","Gortnaskehy, Cork County","Number","170"
"Males - 2022","2022","Gortnatubbrid, Cork County","Number","252"
"Males - 2022","2022","Gortroe, Cork County","Number","412"
"Males - 2022","2022","Gowlane, Cork County","Number","687"
"Males - 2022","2022","Greenane, Cork County","Number","718"
"Males - 2022","2022","Greenfort, Cork County","Number","421"
"Males - 2022","2022","Greenville, Cork County","Number","151"
"Males - 2022","2022","Ightermurragh, Cork County","Number","1444"
"Males - 2022","2022","Imphrick, Cork County","Number","187"
"Males - 2022","2022","Inch, Cork County","Number","317"
"Males - 2022","2022","Inchigeelagh, Cork County","Number","303"
"Males - 2022","2022","Inishannon, Cork County","Number","1047"
"Males - 2022","2022","Inishkenny, Cork County","Number","542"
"Males - 2022","2022","Kanturk, Cork County","Number","1114"
"Males - 2022","2022","Keale, Cork County","Number","190"
"Males - 2022","2022","Kealkill, Cork County","Number","278"
"Males - 2022","2022","Kilberrihert, Cork County","Number","409"
"Males - 2022","2022","Kilbonane, Cork County","Number","680"
"Males - 2022","2022","Kilbrin, Cork County","Number","169"
"Males - 2022","2022","Kilbrittain, Cork County","Number","308"
"Males - 2022","2022","Kilbrogan, Cork County","Number","1429"
"Males - 2022","2022","Kilcaskan, Cork County","Number","461"
"Males - 2022","2022","Kilcatherine, Cork County","Number","402"
"Males - 2022","2022","Kilcoe, Cork County","Number","221"
"Males - 2022","2022","Kilcor, Cork County","Number","214"
"Males - 2022","2022","Kilcorney, Cork County","Number","167"
"Males - 2022","2022","Kilcronat, Cork County","Number","102"
"Males - 2022","2022","Kilcullen, Cork County","Number","471"
"Males - 2022","2022","Kilcummer, Cork County","Number","145"
"Males - 2022","2022","Kildinan, Cork County","Number","340"
"Males - 2022","2022","Kildorrery, Cork County","Number","387"
"Males - 2022","2022","Kilfaughnabeg, Cork County","Number","299"
"Males - 2022","2022","Kilgullane, Cork County","Number","81"
"Males - 2022","2022","Kilkerranmore, Cork County","Number","288"
"Males - 2022","2022","Killaconenagh, Cork County","Number","802"
"Males - 2022","2022","Killathy, Cork County","Number","216"
"Males - 2022","2022","Killeagh, Cork County, 047202","Number","787"
"Males - 2022","2022","Killeagh, Cork County, 047203","Number","341"
"Males - 2022","2022","Killeenleagh, Cork County","Number","183"
"Males - 2022","2022","Kilmacdonogh, Cork County","Number","514"
"Males - 2022","2022","Kilmaclenine, Cork County","Number","355"
"Males - 2022","2022","Kilmaloda East, Cork County","Number","203"
"Males - 2022","2022","Kilmaloda West, Cork County","Number","108"
"Males - 2022","2022","Kilmeen, Cork County","Number","182"
"Males - 2022","2022","Kilmonoge, Cork County","Number","636"
"Males - 2022","2022","Kilmoylerane, Cork County","Number","176"
"Males - 2022","2022","Kilnagross, Cork County","Number","293"
"Males - 2022","2022","Kilnamanagh, Cork County","Number","191"
"Males - 2022","2022","Kilnamartery, Cork County","Number","386"
"Males - 2022","2022","Kilpatrick, Cork County","Number","280"
"Males - 2022","2022","Kilphelan, Cork County","Number","274"
"Males - 2022","2022","Kilshannig, Cork County","Number","600"
"Males - 2022","2022","Kilworth, Cork County","Number","876"
"Males - 2022","2022","Kinneigh, Cork County","Number","226"
"Males - 2022","2022","Kinsale Rural, Cork County","Number","2719"
"Males - 2022","2022","Kinsale Urban, Cork County","Number","1213"
"Males - 2022","2022","Kinure, Cork County","Number","193"
"Males - 2022","2022","Knockantota, Cork County","Number","539"
"Males - 2022","2022","Knockatooan, Cork County","Number","157"
"Males - 2022","2022","Knockavilly, Cork County","Number","241"
"Males - 2022","2022","Knockmourne, Cork County","Number","706"
"Males - 2022","2022","Knocknagree, Cork County","Number","307"
"Males - 2022","2022","Knockraha, Cork County","Number","877"
"Males - 2022","2022","Knockroe, Cork County","Number","380"
"Males - 2022","2022","Knocks, Cork County","Number","174"
"Males - 2022","2022","Knockskagh, Cork County","Number","268"
"Males - 2022","2022","Knocktemple, Cork County","Number","248"
"Males - 2022","2022","Laherne, Cork County","Number","308"
"Males - 2022","2022","Leighmoney, Cork County","Number","405"
"Males - 2022","2022","Leitrim, Cork County","Number","186"
"Males - 2022","2022","Liscarroll, Cork County","Number","319"
"Males - 2022","2022","Liscleary, Cork County","Number","2522"
"Males - 2022","2022","Lisgoold, Cork County","Number","532"
"Males - 2022","2022","Lowertown, Cork County","Number","116"
"Males - 2022","2022","Macloneigh, Cork County","Number","439"
"Males - 2022","2022","Macroom Urban, Cork County","Number","2168"
"Males - 2022","2022","Magourney, Cork County","Number","581"
"Males - 2022","2022","Mallow North Urban, Cork County","Number","3132"
"Males - 2022","2022","Mallow Rural, Cork County","Number","2505"
"Males - 2022","2022","Mallow South Urban, Cork County","Number","1392"
"Males - 2022","2022","Manch, Cork County","Number","299"
"Males - 2022","2022","Marshalstown, Cork County","Number","223"
"Males - 2022","2022","Mashanaglass, Cork County","Number","265"
"Males - 2022","2022","Matehy, Cork County","Number","745"
"Males - 2022","2022","Mealagh, Cork County","Number","202"
"Males - 2022","2022","Meens, Cork County","Number","233"
"Males - 2022","2022","Midleton Rural, Cork County","Number","4915"
"Males - 2022","2022","Midleton Urban, Cork County","Number","1864"
"Males - 2022","2022","Milane, Cork County","Number","91"
"Males - 2022","2022","Milford, Cork County","Number","343"
"Males - 2022","2022","Milltown, Cork County","Number","231"
"Males - 2022","2022","Mitchelstown, Cork County","Number","2591"
"Males - 2022","2022","Mogeely, Cork County","Number","381"
"Males - 2022","2022","Monanimy, Cork County","Number","425"
"Males - 2022","2022","Monkstown Rural, Cork County","Number","627"
"Males - 2022","2022","Monkstown Urban, Cork County","Number","2689"
"Males - 2022","2022","Mountrivers, Cork County","Number","376"
"Males - 2022","2022","Moviddy, Cork County","Number","800"
