division_name,formatted_address,lat,lng,status,error,route_count,total_departures
Ballymun A,Ballymun, Dublin, Ireland,53.3968675,-6.2643161,success,,13,850
Ballymun B,Ballymun, Dublin, Ireland,53.3968675,-6.2643161,success,,13,850
Ballymun C,Ballymun, Dublin, Ireland,53.3968675,-6.2643161,success,,13,850
Ballymun D,Ballymun, Dublin, Ireland,53.3968675,-6.2643161,success,,13,850
Ballymun E,Ballymun, Dublin, Ireland,53.3968675,-6.2643161,success,,13,850
Ballymun F,Ballymun, Dublin, Ireland,53.3968675,-6.2643161,success,,13,850
Beaumont A,Beaumont, Dublin, Ireland,53.3856676,-6.2290395,success,,14,906
Beaumont B,Beaumont, Dublin, Ireland,53.3856676,-6.2290395,success,,14,906
Beaumont C,Beaumont, Dublin, Ireland,53.3856676,-6.2290395,success,,14,906
Beaumont D,Beaumont, Dublin, Ireland,53.3856676,-6.2290395,success,,14,906
Beaumont E,Beaumont, Dublin, Ireland,53.3856676,-6.2290395,success,,14,906
Beaumont F,Beaumont, Dublin, Ireland,53.3856676,-6.2290395,success,,14,906
Botanic A,Botanic, Dublin, Ireland,53.3703112,-6.268501,success,,24,1359
Botanic B,Botanic, Dublin, Ireland,53.3703112,-6.268501,success,,24,1359
Botanic C,Botanic, Dublin, Ireland,53.3703112,-6.268501,success,,24,1359
Cabra East A,Cabra East, Dublin, Ireland,53.363255,-6.282966699999999,success,,26,1321
Cabra East B,Cabra East, Dublin, Ireland,53.363255,-6.282966699999999,success,,26,1321
Cabra East C,Cabra East, Dublin, Ireland,53.363255,-6.282966699999999,success,,26,1321
Cabra West A,Cabra West, Dublin, Ireland,53.3671482,-6.2960394,success,,16,606
Cabra West B,Cabra West, Dublin, Ireland,53.3671482,-6.2960394,success,,16,606
Cabra West C,Cabra West, Dublin, Ireland,53.3671482,-6.2960394,success,,16,606
Cabra West D,Cabra West, Dublin, Ireland,53.3671482,-6.2960394,success,,16,606
Carna,Carna, Co. Galway, Ireland,53.32421679999999,-9.8361074,success,,1,2
Chapelizod,Chapelizod, Dublin, Ireland,53.3478988,-6.346305399999999,success,,8,594
Cherry Orchard A,Cherry Orchard, Dublin, Ireland,53.3358431,-6.3660785,success,,8,596
Cherry Orchard C,Cherry Orchard, Dublin, Ireland,53.3358431,-6.3660785,success,,8,596
Clontarf East A,Clontarf East, Dublin, Ireland,53.3596845,-6.1959851,success,,3,117
Clontarf East B,Clontarf East, Dublin, Ireland,53.3596845,-6.1959851,success,,3,117
Clontarf East C,Clontarf East, Dublin, Ireland,53.3596845,-6.1959851,success,,3,117
Clontarf East D,Clontarf East, Dublin, Ireland,53.3596845,-6.1959851,success,,3,117
Clontarf East E,Clontarf East, Dublin, Ireland,53.3596845,-6.1959851,success,,3,117
Clontarf West A,Clontarf West, Dublin, Ireland,53.3665356,-6.2204253,success,,19,1159
